shipment_id,supplier_id,product_id,shipment_date,expected_delivery,actual_delivery,status
SHIP-000298,SUP-005,PROD-0100,2024-11-04,2024-11-09,2024-11-07,Delivered
SHIP-000299,SUP-016,PROD-0079,2024-02-15,2024-02-20,2024-02-24,Delayed
SHIP-000300,SUP-009,PROD-0025,2024-03-28,2024-04-13,2024-04-11,Delivered
SHIP-000301,SUP-011,PROD-0087,2024-07-15,2024-08-14,2024-08-14,Delivered
SHIP-000302,SUP-002,PROD-0006,2024-01-31,2024-02-24,2024-02-22,Delivered
SHIP-000303,SUP-004,PROD-0098,2024-07-07,2024-07-23,2024-07-25,Delivered
SHIP-000304,SUP-001,PROD-0045,2024-01-12,2024-01-19,2024-01-17,Delivered
SHIP-000305,SUP-017,PROD-0060,2024-06-22,2024-07-06,2024-07-07,Delivered
SHIP-000306,SUP-018,PROD-0084,2024-02-06,2024-02-28,2024-02-28,Delivered
SHIP-000307,SUP-019,PROD-0068,2024-02-06,2024-02-10,2024-02-10,Delivered
SHIP-000308,SUP-015,PROD-0081,2024-09-03,2024-09-30,2024-10-10,Delayed
SHIP-000309,SUP-018,PROD-0033,2024-12-04,2024-12-26,2024-12-25,Delivered
SHIP-000310,SUP-013,PROD-0018,2024-02-21,2024-03-08,2024-03-07,Delivered
SHIP-000311,SUP-014,PROD-0048,2024-03-21,2024-03-28,2024-03-26,Delivered
SHIP-000312,SUP-013,PROD-0040,2024-10-25,2024-11-10,2024-11-11,Delivered
SHIP-000313,SUP-019,PROD-0061,2024-01-30,2024-02-03,2024-02-03,Delivered
SHIP-000314,SUP-011,PROD-0034,2024-07-11,2024-08-10,2024-08-12,Delivered
SHIP-000315,SUP-003,PROD-0023,2024-05-10,2024-05-30,2024-06-06,Delayed
SHIP-000316,SUP-016,PROD-0002,2024-07-13,2024-07-18,2024-07-18,Delivered
SHIP-000317,SUP-013,PROD-0008,2024-07-06,2024-07-22,2024-07-24,Delivered
SHIP-000318,SUP-003,PROD-0062,2024-11-06,2024-11-26,2024-12-01,Delayed
SHIP-000319,SUP-019,PROD-0055,2024-05-08,2024-05-12,2024-05-10,Delivered
SHIP-000320,SUP-012,PROD-0001,2024-12-06,2025-01-03,2025-01-02,Delivered
SHIP-000321,SUP-020,PROD-0061,2024-02-04,2024-02-24,2024-03-01,Delayed
SHIP-000322,SUP-002,PROD-0052,2024-08-15,2024-09-08,2024-09-08,Delivered
SHIP-000323,SUP-004,PROD-0054,2024-12-15,2024-12-31,2025-01-01,Delivered
SHIP-000324,SUP-007,PROD-0037,2024-10-31,2024-11-20,2024-11-25,Delayed
SHIP-000325,SUP-011,PROD-0040,2024-10-23,2024-11-22,2024-11-22,Delivered
SHIP-000326,SUP-008,PROD-0065,2024-10-21,2024-11-13,2024-11-13,Delivered
SHIP-000327,SUP-002,PROD-0072,2024-06-02,2024-06-26,2024-07-03,Delayed
SHIP-000328,SUP-012,PROD-0080,2024-01-11,2024-02-08,2024-02-15,Delayed
SHIP-000329,SUP-018,PROD-0078,2024-07-15,2024-08-06,2024-08-08,Delivered
SHIP-000330,SUP-018,PROD-0097,2024-05-10,2024-06-01,2024-06-07,Delayed
SHIP-000331,SUP-002,PROD-0092,2024-10-23,2024-11-16,2024-11-16,Delivered
SHIP-000332,SUP-014,PROD-0032,2024-10-13,2024-10-20,2024-10-22,Delivered
SHIP-000333,SUP-019,PROD-0070,2024-09-10,2024-09-14,2024-09-15,Delivered
SHIP-000334,SUP-001,PROD-0098,2024-05-04,2024-05-11,2024-05-12,Delivered
SHIP-000335,SUP-019,PROD-0053,2024-08-02,2024-08-06,2024-08-08,Delivered
SHIP-000336,SUP-008,PROD-0046,2024-08-28,2024-09-20,2024-09-30,Delayed
SHIP-000337,SUP-007,PROD-0027,2024-09-28,2024-10-18,2024-10-17,Delivered
SHIP-000338,SUP-015,PROD-0024,2024-05-20,2024-06-16,2024-06-24,Delayed
SHIP-000339,SUP-002,PROD-0015,2024-02-27,2024-03-22,2024-03-24,Delivered
SHIP-000340,SUP-004,PROD-0060,2024-08-20,2024-09-05,2024-09-04,Delivered
SHIP-000341,SUP-018,PROD-0044,2024-10-02,2024-10-24,2024-10-24,Delivered
SHIP-000342,SUP-012,PROD-0094,2024-08-14,2024-09-11,2024-09-12,Delivered
SHIP-000343,SUP-017,PROD-0056,2024-08-09,2024-08-23,2024-08-24,Delivered
SHIP-000344,SUP-003,PROD-0084,2024-01-30,2024-02-19,2024-02-17,Delivered
SHIP-000345,SUP-001,PROD-0058,2024-10-28,2024-11-04,2024-11-03,Delivered
SHIP-000346,SUP-013,PROD-0019,2024-07-05,2024-07-21,2024-07-21,Delivered
SHIP-000347,SUP-001,PROD-0050,2024-03-05,2024-03-12,2024-03-14,Delivered
SHIP-000348,SUP-006,PROD-0069,2024-04-17,2024-05-06,2024-05-07,Delivered
SHIP-000349,SUP-020,PROD-0073,2024-10-23,2024-11-12,2024-11-10,Delivered
SHIP-000350,SUP-013,PROD-0061,2024-09-28,2024-10-14,2024-10-15,Delivered
SHIP-000351,SUP-006,PROD-0055,2024-08-17,2024-09-05,2024-09-03,Delivered
SHIP-000352,SUP-016,PROD-0032,2024-01-14,2024-01-19,2024-01-20,Delivered
SHIP-000353,SUP-018,PROD-0025,2024-04-18,2024-05-10,2024-05-19,Delayed
SHIP-000354,SUP-002,PROD-0030,2024-09-05,2024-09-29,2024-09-29,Delivered
SHIP-000355,SUP-020,PROD-0038,2024-05-22,2024-06-11,2024-06-21,Delayed
SHIP-000356,SUP-005,PROD-0097,2024-09-03,2024-09-08,2024-09-12,Delayed
SHIP-000357,SUP-014,PROD-0073,2024-05-19,2024-05-26,2024-05-27,Delivered
SHIP-000358,SUP-004,PROD-0077,2024-08-27,2024-09-12,2024-09-15,Delayed
SHIP-000359,SUP-011,PROD-0085,2024-03-10,2024-04-09,2024-04-12,Delayed
SHIP-000360,SUP-006,PROD-0022,2024-12-22,2025-01-10,2025-01-10,Delivered
SHIP-000361,SUP-013,PROD-0087,2024-05-11,2024-05-27,2024-05-25,Delivered
SHIP-000362,SUP-002,PROD-0091,2024-11-23,2024-12-17,2024-12-19,Delivered
SHIP-000363,SUP-012,PROD-0017,2024-12-20,2025-01-17,2025-01-19,Delivered
SHIP-000364,SUP-005,PROD-0087,2024-06-14,2024-06-19,2024-06-20,Delivered
SHIP-000365,SUP-015,PROD-0030,2024-11-18,2024-12-15,2024-12-15,Delivered
SHIP-000366,SUP-010,PROD-0057,2024-05-16,2024-06-06,2024-06-13,Delayed
SHIP-000367,SUP-013,PROD-0073,2024-07-01,2024-07-17,2024-07-17,Delivered
SHIP-000368,SUP-003,PROD-0035,2024-12-29,2025-01-18,2025-01-19,Delivered
SHIP-000369,SUP-007,PROD-0067,2024-12-10,2024-12-30,2024-12-29,Delivered
SHIP-000370,SUP-003,PROD-0034,2024-12-19,2025-01-08,,In Transit
SHIP-000371,SUP-010,PROD-0021,2024-01-14,2024-02-04,2024-02-12,Delayed
SHIP-000372,SUP-018,PROD-0053,2024-04-20,2024-05-12,2024-05-22,Delayed
SHIP-000373,SUP-016,PROD-0075,2024-03-23,2024-03-28,2024-03-29,Delivered
SHIP-000374,SUP-001,PROD-0034,2024-03-07,2024-03-14,2024-03-13,Delivered
SHIP-000375,SUP-005,PROD-0013,2024-08-31,2024-09-05,2024-09-05,Delivered
SHIP-000376,SUP-018,PROD-0016,2024-12-10,2025-01-01,2025-01-03,Delivered
SHIP-000377,SUP-007,PROD-0023,2024-10-11,2024-10-31,2024-10-31,Delivered
SHIP-000378,SUP-002,PROD-0001,2024-03-21,2024-04-14,2024-04-15,Delivered
SHIP-000379,SUP-007,PROD-0050,2024-07-25,2024-08-14,2024-08-15,Delivered
SHIP-000380,SUP-003,PROD-0025,2024-08-04,2024-08-24,2024-08-27,Delayed
SHIP-000381,SUP-011,PROD-0089,2024-11-21,2024-12-21,2024-12-22,Delivered
SHIP-000382,SUP-011,PROD-0085,2024-08-10,2024-09-09,2024-09-09,Delivered
SHIP-000383,SUP-002,PROD-0030,2024-05-15,2024-06-08,2024-06-10,Delivered
SHIP-000384,SUP-018,PROD-0003,2024-05-26,2024-06-17,2024-06-17,Delivered
SHIP-000385,SUP-008,PROD-0080,2024-01-24,2024-02-16,2024-02-17,Delivered
SHIP-000386,SUP-001,PROD-0063,2024-11-04,2024-11-11,2024-11-09,Delivered
SHIP-000387,SUP-002,PROD-0052,2024-08-09,2024-09-02,2024-09-03,Delivered
SHIP-000388,SUP-020,PROD-0020,2024-09-10,2024-09-30,2024-10-10,Delayed
SHIP-000389,SUP-001,PROD-0012,2024-12-14,2024-12-21,,Pending
SHIP-000390,SUP-013,PROD-0083,2024-08-03,2024-08-19,2024-08-23,Delayed
SHIP-000391,SUP-015,PROD-0021,2024-10-27,2024-11-23,2024-11-22,Delivered
SHIP-000392,SUP-013,PROD-0015,2024-12-14,2024-12-30,,In Transit
SHIP-000393,SUP-003,PROD-0077,2024-03-29,2024-04-18,2024-04-17,Delivered
SHIP-000394,SUP-014,PROD-0088,2024-06-25,2024-07-02,2024-07-03,Delivered
SHIP-000395,SUP-006,PROD-0063,2024-11-06,2024-11-25,2024-11-26,Delivered
SHIP-000396,SUP-019,PROD-0016,2024-11-09,2024-11-13,2024-11-11,Delivered
SHIP-000397,SUP-020,PROD-0055,2024-09-02,2024-09-22,2024-09-21,Delivered
SHIP-000398,SUP-005,PROD-0024,2024-04-16,2024-04-21,2024-04-19,Delivered
SHIP-000399,SUP-007,PROD-0064,2024-01-11,2024-01-31,2024-01-30,Delivered
SHIP-000400,SUP-016,PROD-0068,2024-04-20,2024-04-25,2024-04-25,Delivered
SHIP-000401,SUP-006,PROD-0072,2024-10-23,2024-11-11,2024-11-10,Delivered
SHIP-000402,SUP-001,PROD-0083,2024-09-02,2024-09-09,2024-09-08,Delivered
SHIP-000403,SUP-008,PROD-0088,2024-08-09,2024-09-01,2024-08-31,Delivered
SHIP-000404,SUP-017,PROD-0025,2024-05-22,2024-06-05,2024-06-03,Delivered
SHIP-000405,SUP-006,PROD-0021,2024-10-09,2024-10-28,2024-10-29,Delivered
SHIP-000406,SUP-001,PROD-0037,2024-12-10,2024-12-17,2024-12-17,Delivered
SHIP-000407,SUP-019,PROD-0001,2024-11-09,2024-11-13,2024-11-12,Delivered
SHIP-000408,SUP-001,PROD-0100,2024-10-20,2024-10-27,2024-10-28,Delivered
SHIP-000409,SUP-015,PROD-0095,2024-05-14,2024-06-10,2024-06-08,Delivered
SHIP-000410,SUP-015,PROD-0056,2024-02-24,2024-03-22,2024-03-24,Delivered
SHIP-000411,SUP-003,PROD-0010,2024-08-24,2024-09-13,2024-09-17,Delayed
SHIP-000412,SUP-019,PROD-0076,2024-05-14,2024-05-18,2024-05-18,Delivered
SHIP-000413,SUP-004,PROD-0067,2024-10-29,2024-11-14,2024-11-12,Delivered
SHIP-000414,SUP-011,PROD-0042,2024-11-30,2024-12-30,2024-12-29,Delivered
SHIP-000415,SUP-014,PROD-0034,2024-04-28,2024-05-05,2024-05-03,Delivered
SHIP-000416,SUP-004,PROD-0063,2024-07-07,2024-07-23,2024-07-24,Delivered
SHIP-000417,SUP-006,PROD-0100,2024-08-09,2024-08-28,2024-08-30,Delivered
SHIP-000418,SUP-009,PROD-0089,2024-05-09,2024-05-25,2024-05-27,Delivered
SHIP-000419,SUP-011,PROD-0079,2024-05-28,2024-06-27,2024-07-03,Delayed
SHIP-000420,SUP-013,PROD-0060,2024-09-03,2024-09-19,2024-09-19,Delivered
SHIP-000421,SUP-018,PROD-0077,2024-03-22,2024-04-13,2024-04-13,Delivered
SHIP-000422,SUP-017,PROD-0045,2024-07-16,2024-07-30,2024-07-31,Delivered
SHIP-000423,SUP-001,PROD-0092,2024-05-03,2024-05-10,2024-05-12,Delivered
SHIP-000424,SUP-012,PROD-0054,2024-11-18,2024-12-16,2024-12-19,Delayed
SHIP-000425,SUP-005,PROD-0081,2024-05-04,2024-05-09,2024-05-08,Delivered
SHIP-000426,SUP-003,PROD-0092,2024-08-17,2024-09-06,2024-09-05,Delivered
SHIP-000427,SUP-005,PROD-0060,2024-12-16,2024-12-21,2024-12-31,Delayed
SHIP-000428,SUP-019,PROD-0021,2024-02-08,2024-02-12,2024-02-12,Delivered
SHIP-000429,SUP-015,PROD-0079,2024-01-24,2024-02-20,2024-02-28,Delayed
SHIP-000430,SUP-006,PROD-0063,2024-06-29,2024-07-18,2024-07-19,Delivered
SHIP-000431,SUP-018,PROD-0098,2024-08-15,2024-09-06,2024-09-05,Delivered
SHIP-000432,SUP-017,PROD-0032,2024-05-22,2024-06-05,2024-06-05,Delivered
SHIP-000433,SUP-006,PROD-0015,2024-12-11,2024-12-30,,In Transit
SHIP-000434,SUP-019,PROD-0095,2024-03-14,2024-03-18,2024-03-20,Delivered
SHIP-000435,SUP-002,PROD-0060,2024-08-24,2024-09-17,2024-09-18,Delivered
SHIP-000436,SUP-020,PROD-0079,2024-10-28,2024-11-17,2024-11-24,Delayed
SHIP-000437,SUP-019,PROD-0068,2024-10-31,2024-11-04,2024-11-03,Delivered
SHIP-000438,SUP-003,PROD-0066,2024-09-26,2024-10-16,2024-10-26,Delayed
SHIP-000439,SUP-018,PROD-0077,2024-03-25,2024-04-16,2024-04-17,Delivered
SHIP-000440,SUP-016,PROD-0070,2024-05-11,2024-05-16,2024-05-18,Delivered
SHIP-000441,SUP-002,PROD-0044,2024-07-15,2024-08-08,2024-08-12,Delayed
SHIP-000442,SUP-014,PROD-0039,2024-01-27,2024-02-03,2024-02-04,Delivered
SHIP-000443,SUP-004,PROD-0021,2024-07-13,2024-07-29,2024-07-28,Delivered
SHIP-000444,SUP-002,PROD-0025,2024-11-01,2024-11-25,2024-11-27,Delivered
SHIP-000445,SUP-005,PROD-0057,2024-07-14,2024-07-19,2024-07-19,Delivered
SHIP-000446,SUP-018,PROD-0057,2024-02-21,2024-03-14,2024-03-15,Delivered
SHIP-000447,SUP-002,PROD-0094,2024-04-22,2024-05-16,2024-05-18,Delivered
SHIP-000448,SUP-017,PROD-0007,2024-01-26,2024-02-09,2024-02-09,Delivered
SHIP-000449,SUP-005,PROD-0050,2024-01-11,2024-01-16,2024-01-14,Delivered
SHIP-000450,SUP-015,PROD-0063,2024-08-23,2024-09-19,2024-09-23,Delayed
SHIP-000451,SUP-010,PROD-0045,2024-03-09,2024-03-30,2024-03-30,Delivered
SHIP-000452,SUP-017,PROD-0061,2024-05-07,2024-05-21,2024-05-20,Delivered
SHIP-000453,SUP-001,PROD-0088,2024-08-21,2024-08-28,2024-08-27,Delivered
SHIP-000454,SUP-006,PROD-0083,2024-08-04,2024-08-23,2024-08-25,Delivered
SHIP-000455,SUP-001,PROD-0013,2024-02-21,2024-02-28,2024-02-29,Delivered
SHIP-000456,SUP-014,PROD-0007,2024-04-23,2024-04-30,2024-05-08,Delayed
SHIP-000457,SUP-008,PROD-0037,2024-01-16,2024-02-08,2024-02-07,Delivered
SHIP-000458,SUP-020,PROD-0048,2024-07-08,2024-07-28,2024-07-26,Delivered
SHIP-000459,SUP-001,PROD-0047,2024-12-04,2024-12-11,2024-12-09,Delivered
SHIP-000460,SUP-015,PROD-0097,2024-09-18,2024-10-15,2024-10-16,Delivered
SHIP-000461,SUP-011,PROD-0034,2024-08-14,2024-09-13,2024-09-17,Delayed
SHIP-000462,SUP-011,PROD-0002,2024-04-22,2024-05-22,2024-05-20,Delivered
SHIP-000463,SUP-010,PROD-0057,2024-12-23,2025-01-13,,Pending
SHIP-000464,SUP-020,PROD-0060,2024-02-17,2024-03-08,2024-03-18,Delayed
SHIP-000465,SUP-001,PROD-0028,2024-07-03,2024-07-10,2024-07-08,Delivered
SHIP-000466,SUP-007,PROD-0032,2024-09-12,2024-10-02,2024-10-05,Delayed
SHIP-000467,SUP-009,PROD-0048,2024-04-04,2024-04-20,2024-04-30,Delayed
SHIP-000468,SUP-007,PROD-0062,2024-04-19,2024-05-09,2024-05-08,Delivered
SHIP-000469,SUP-008,PROD-0007,2024-10-31,2024-11-23,2024-11-21,Delivered
SHIP-000470,SUP-004,PROD-0079,2024-02-12,2024-02-28,2024-03-02,Delayed
SHIP-000471,SUP-001,PROD-0066,2024-02-20,2024-02-27,2024-02-27,Delivered
SHIP-000472,SUP-020,PROD-0099,2024-10-16,2024-11-05,2024-11-04,Delivered
SHIP-000473,SUP-018,PROD-0033,2024-02-09,2024-03-02,2024-03-07,Delayed
SHIP-000474,SUP-015,PROD-0051,2024-03-22,2024-04-18,2024-04-25,Delayed
SHIP-000475,SUP-009,PROD-0036,2024-01-08,2024-01-24,2024-02-02,Delayed
SHIP-000476,SUP-006,PROD-0064,2024-02-09,2024-02-28,2024-02-29,Delivered
SHIP-000477,SUP-019,PROD-0042,2024-06-20,2024-06-24,2024-06-26,Delivered
SHIP-000478,SUP-004,PROD-0018,2024-08-06,2024-08-22,2024-08-25,Delayed
SHIP-000479,SUP-012,PROD-0040,2024-03-28,2024-04-25,2024-05-03,Delayed
SHIP-000480,SUP-008,PROD-0008,2024-02-13,2024-03-07,2024-03-14,Delayed
SHIP-000481,SUP-015,PROD-0067,2024-05-07,2024-06-03,2024-06-01,Delivered
SHIP-000482,SUP-020,PROD-0055,2024-05-21,2024-06-10,2024-06-14,Delayed
SHIP-000483,SUP-004,PROD-0055,2024-02-02,2024-02-18,2024-02-21,Delayed
SHIP-000484,SUP-001,PROD-0051,2024-01-17,2024-01-24,2024-02-01,Delayed
SHIP-000485,SUP-006,PROD-0061,2024-01-27,2024-02-15,2024-02-15,Delivered
SHIP-000486,SUP-009,PROD-0023,2024-05-04,2024-05-20,2024-05-24,Delayed
SHIP-000487,SUP-020,PROD-0095,2024-10-19,2024-11-08,2024-11-17,Delayed
SHIP-000488,SUP-014,PROD-0086,2024-01-30,2024-02-06,2024-02-11,Delayed
SHIP-000489,SUP-004,PROD-0065,2024-09-03,2024-09-19,2024-09-18,Delivered
SHIP-000490,SUP-012,PROD-0004,2024-12-25,2025-01-22,2025-02-01,Delayed
SHIP-000491,SUP-002,PROD-0037,2024-11-06,2024-11-30,2024-11-28,Delivered
SHIP-000492,SUP-017,PROD-0064,2024-06-16,2024-06-30,2024-07-02,Delivered
SHIP-000493,SUP-018,PROD-0088,2024-06-19,2024-07-11,2024-07-11,Delivered
SHIP-000494,SUP-018,PROD-0044,2024-08-29,2024-09-20,2024-09-20,Delivered
SHIP-000495,SUP-014,PROD-0076,2024-03-27,2024-04-03,2024-04-04,Delivered
SHIP-000496,SUP-018,PROD-0074,2024-05-13,2024-06-04,2024-06-05,Delivered
SHIP-000497,SUP-006,PROD-0088,2024-10-29,2024-11-17,2024-11-26,Delayed
SHIP-000498,SUP-004,PROD-0054,2024-02-26,2024-03-13,2024-03-23,Delayed
SHIP-000499,SUP-002,PROD-0099,2024-06-21,2024-07-15,2024-07-13,Delivered
SHIP-000500,SUP-015,PROD-0056,2024-09-22,2024-10-19,2024-10-20,Delivered
SHIP-000501,SUP-006,PROD-0049,2024-02-25,2024-03-15,2024-03-15,Delivered
SHIP-000502,SUP-010,PROD-0017,2024-10-14,2024-11-04,2024-11-02,Delivered
SHIP-000503,SUP-011,PROD-0090,2024-07-14,2024-08-13,2024-08-15,Delivered
SHIP-000504,SUP-017,PROD-0077,2024-01-11,2024-01-25,2024-01-27,Delivered
SHIP-000505,SUP-009,PROD-0099,2024-09-12,2024-09-28,2024-09-28,Delivered
SHIP-000506,SUP-015,PROD-0042,2024-06-30,2024-07-27,2024-07-30,Delayed
SHIP-000507,SUP-010,PROD-0009,2024-10-12,2024-11-02,2024-11-03,Delivered
SHIP-000508,SUP-013,PROD-0010,2024-10-07,2024-10-23,2024-10-23,Delivered
SHIP-000509,SUP-008,PROD-0022,2024-01-24,2024-02-16,2024-02-16,Delivered
SHIP-000510,SUP-020,PROD-0047,2024-02-16,2024-03-07,2024-03-14,Delayed
SHIP-000511,SUP-009,PROD-0021,2024-03-11,2024-03-27,2024-03-27,Delivered
SHIP-000512,SUP-007,PROD-0098,2024-03-15,2024-04-04,2024-04-05,Delivered
SHIP-000513,SUP-003,PROD-0039,2024-11-18,2024-12-08,2024-12-10,Delivered
SHIP-000514,SUP-015,PROD-0037,2024-02-01,2024-02-28,2024-02-26,Delivered
SHIP-000515,SUP-004,PROD-0007,2024-02-03,2024-02-19,2024-02-17,Delivered
SHIP-000516,SUP-012,PROD-0060,2024-04-26,2024-05-24,2024-05-26,Delivered
SHIP-000517,SUP-011,PROD-0080,2024-12-02,2025-01-01,2024-12-31,Delivered
SHIP-000518,SUP-011,PROD-0031,2024-05-09,2024-06-08,2024-06-18,Delayed
SHIP-000519,SUP-020,PROD-0059,2024-01-23,2024-02-12,2024-02-12,Delivered
SHIP-000520,SUP-014,PROD-0069,2024-02-02,2024-02-09,2024-02-11,Delivered
SHIP-000521,SUP-014,PROD-0087,2024-12-06,2024-12-13,,Pending
SHIP-000522,SUP-013,PROD-0027,2024-08-15,2024-08-31,2024-09-04,Delayed
SHIP-000523,SUP-001,PROD-0091,2024-08-12,2024-08-19,2024-08-17,Delivered
SHIP-000524,SUP-017,PROD-0022,2024-08-07,2024-08-21,2024-08-21,Delivered
SHIP-000525,SUP-003,PROD-0057,2024-04-22,2024-05-12,2024-05-14,Delivered
SHIP-000526,SUP-015,PROD-0064,2024-08-29,2024-09-25,2024-09-24,Delivered
SHIP-000527,SUP-013,PROD-0040,2024-11-01,2024-11-17,2024-11-18,Delivered
SHIP-000528,SUP-012,PROD-0053,2024-07-19,2024-08-16,2024-08-14,Delivered
SHIP-000529,SUP-017,PROD-0084,2024-12-15,2024-12-29,,In Transit
SHIP-000530,SUP-007,PROD-0060,2024-02-12,2024-03-03,2024-03-01,Delivered
SHIP-000531,SUP-013,PROD-0091,2024-09-10,2024-09-26,2024-09-24,Delivered
SHIP-000532,SUP-008,PROD-0065,2024-12-18,2025-01-10,2025-01-11,Delivered
SHIP-000533,SUP-008,PROD-0024,2024-02-26,2024-03-20,2024-03-22,Delivered
SHIP-000534,SUP-004,PROD-0018,2024-01-04,2024-01-20,2024-01-21,Delivered
SHIP-000535,SUP-015,PROD-0026,2024-08-30,2024-09-26,2024-09-25,Delivered
SHIP-000536,SUP-004,PROD-0034,2024-09-16,2024-10-02,2024-10-02,Delivered
SHIP-000537,SUP-013,PROD-0003,2024-07-04,2024-07-20,2024-07-18,Delivered
SHIP-000538,SUP-005,PROD-0083,2024-09-28,2024-10-03,2024-10-04,Delivered
SHIP-000539,SUP-006,PROD-0082,2024-09-03,2024-09-22,2024-09-23,Delivered
SHIP-000540,SUP-014,PROD-0023,2024-08-07,2024-08-14,2024-08-12,Delivered
SHIP-000541,SUP-013,PROD-0069,2024-11-05,2024-11-21,2024-11-20,Delivered
SHIP-000542,SUP-012,PROD-0078,2024-10-10,2024-11-07,2024-11-14,Delayed
SHIP-000543,SUP-010,PROD-0010,2024-10-27,2024-11-17,2024-11-24,Delayed
SHIP-000544,SUP-011,PROD-0040,2024-04-15,2024-05-15,2024-05-17,Delivered
SHIP-000545,SUP-015,PROD-0073,2024-03-18,2024-04-14,2024-04-13,Delivered
SHIP-000546,SUP-015,PROD-0007,2024-08-19,2024-09-15,2024-09-23,Delayed
SHIP-000547,SUP-008,PROD-0081,2024-11-14,2024-12-07,2024-12-06,Delivered
SHIP-000548,SUP-016,PROD-0016,2024-04-10,2024-04-15,2024-04-16,Delivered
SHIP-000549,SUP-004,PROD-0074,2024-05-23,2024-06-08,2024-06-11,Delayed
SHIP-000550,SUP-013,PROD-0026,2024-09-25,2024-10-11,2024-10-09,Delivered
SHIP-000551,SUP-005,PROD-0050,2024-03-28,2024-04-02,2024-03-31,Delivered
SHIP-000552,SUP-014,PROD-0087,2024-06-25,2024-07-02,2024-07-02,Delivered
SHIP-000553,SUP-011,PROD-0003,2024-05-26,2024-06-25,2024-06-26,Delivered
SHIP-000554,SUP-018,PROD-0038,2024-10-29,2024-11-20,2024-11-22,Delivered
SHIP-000555,SUP-007,PROD-0059,2024-10-03,2024-10-23,2024-10-22,Delivered
SHIP-000556,SUP-002,PROD-0035,2024-12-09,2025-01-02,2025-01-02,Delivered
SHIP-000557,SUP-016,PROD-0093,2024-03-07,2024-03-12,2024-03-11,Delivered
SHIP-000558,SUP-014,PROD-0073,2024-07-31,2024-08-07,2024-08-05,Delivered
SHIP-000559,SUP-008,PROD-0083,2024-10-13,2024-11-05,2024-11-04,Delivered
SHIP-000560,SUP-012,PROD-0053,2024-07-02,2024-07-30,2024-07-28,Delivered
SHIP-000561,SUP-015,PROD-0028,2024-02-05,2024-03-03,2024-03-08,Delayed
SHIP-000562,SUP-009,PROD-0080,2024-01-25,2024-02-10,2024-02-11,Delivered
SHIP-000563,SUP-015,PROD-0052,2024-05-03,2024-05-30,2024-05-29,Delivered
SHIP-000564,SUP-016,PROD-0091,2024-07-09,2024-07-14,2024-07-22,Delayed
SHIP-000565,SUP-009,PROD-0020,2024-11-14,2024-11-30,2024-11-28,Delivered
SHIP-000566,SUP-009,PROD-0006,2024-07-19,2024-08-04,2024-08-05,Delivered
SHIP-000567,SUP-006,PROD-0031,2024-02-09,2024-02-28,2024-02-29,Delivered
SHIP-000568,SUP-004,PROD-0032,2024-03-18,2024-04-03,2024-04-12,Delayed
SHIP-000569,SUP-006,PROD-0045,2024-06-26,2024-07-15,2024-07-16,Delivered
SHIP-000570,SUP-013,PROD-0086,2024-04-08,2024-04-24,2024-04-22,Delivered
SHIP-000571,SUP-015,PROD-0074,2024-03-08,2024-04-04,2024-04-03,Delivered
SHIP-000572,SUP-006,PROD-0007,2024-07-11,2024-07-30,2024-07-29,Delivered
SHIP-000573,SUP-011,PROD-0099,2024-03-14,2024-04-13,2024-04-18,Delayed
SHIP-000574,SUP-001,PROD-0089,2024-04-01,2024-04-08,2024-04-08,Delivered
SHIP-000575,SUP-008,PROD-0057,2024-07-03,2024-07-26,2024-07-28,Delivered
SHIP-000576,SUP-005,PROD-0054,2024-01-11,2024-01-16,2024-01-16,Delivered
SHIP-000577,SUP-004,PROD-0052,2024-01-10,2024-01-26,2024-01-28,Delivered
SHIP-000578,SUP-020,PROD-0059,2024-08-25,2024-09-14,2024-09-24,Delayed
SHIP-000579,SUP-006,PROD-0057,2024-02-19,2024-03-09,2024-03-11,Delivered
SHIP-000580,SUP-006,PROD-0006,2024-04-12,2024-05-01,2024-05-01,Delivered
SHIP-000581,SUP-009,PROD-0094,2024-03-01,2024-03-17,2024-03-15,Delivered
SHIP-000582,SUP-011,PROD-0028,2024-11-23,2024-12-23,2024-12-24,Delivered
SHIP-000583,SUP-012,PROD-0004,2024-06-14,2024-07-12,2024-07-14,Delivered
SHIP-000584,SUP-001,PROD-0094,2024-05-27,2024-06-03,2024-06-09,Delayed
SHIP-000585,SUP-010,PROD-0028,2024-12-30,2025-01-20,,Pending
SHIP-000586,SUP-019,PROD-0054,2024-01-03,2024-01-07,2024-01-05,Delivered
SHIP-000587,SUP-002,PROD-0005,2024-04-25,2024-05-19,2024-05-19,Delivered
SHIP-000588,SUP-016,PROD-0032,2024-11-28,2024-12-03,2024-12-01,Delivered
SHIP-000589,SUP-015,PROD-0090,2024-12-28,2025-01-24,2025-01-25,Delivered
SHIP-000590,SUP-012,PROD-0075,2024-07-15,2024-08-12,2024-08-11,Delivered
SHIP-000591,SUP-009,PROD-0055,2024-08-28,2024-09-13,2024-09-11,Delivered
SHIP-000592,SUP-019,PROD-0051,2024-05-25,2024-05-29,2024-05-31,Delivered
SHIP-000593,SUP-019,PROD-0036,2024-01-27,2024-01-31,2024-01-31,Delivered
SHIP-000594,SUP-009,PROD-0059,2024-10-10,2024-10-26,2024-10-29,Delayed
SHIP-000595,SUP-009,PROD-0039,2024-05-14,2024-05-30,2024-05-29,Delivered
